company,proposal_name,current_state,problems,impact,target_persona,existing_tooling,functionality,problem_solving,risk_assessment,business_use_case,architecture_pattern,reasoning_pattern,execution_pattern,knowledge_representation,input_modalities,tool_integration,human_oversight,architecture_confidence,data_complexity,integration_complexity,prompt_complexity,chain_depth,schema_complexity,state_management,error_handling,evaluation_complexity,domain_expertise,latency_requirements,regulatory_requirements,rerepresentation_type
qualcomm,SUPPORT SENTRY – UNIFIED DEVELOPER & OEM SERVICE DESK,"• Channels: public forums, e-mail, Salesforce cases, WeChat, Slack, GitHub issues.
• Aggregate volume after consolidation estimate:
 – Public developer Q&A ≈ 2.1 M posts/yr
 – OEM / Tier-1 tickets ≈ 0.7 M/yr
 – Internal field‐app escalations ≈ 0.8 M/yr
 Total ≈ 3.6 million language interactions annually.
• Today 400 support engineers triage, respond, attach docs, escalate.","1. First-response SLA missed 37 % of the time.
2. Duplicate questions ~28 %.
3. Cost per ticket ~US$32; rising with automotive diversification.","• Target: automate ≥ 75 % of Level-1/2 answers → save ~US$68 M OpEx.
• CSAT +0.6 pts improves design-win conversion (model suggests +US$180 M revenue uplift).","Developer Support Engineer, Field Application Manager, OEM Program Lead.","Salesforce Service Cloud, Confluence KB, Elastic search, Mandarin call-centre.","LLM front-door with multilingual intent classifier; pipeline:
 1. Deduplicate & merge threads.
 2. Retrieve validated snippets from Snapdragon KB, errata, silicon datasheets.
 3. Generate answer, code sample, register write sequence; auto-close ticket.
 4. For low confidence (<90 %), compose structured escalation including repro-steps.
 5. Self-updates KB when answer accepted by >10 customers.",Not specified,Incorrect HW settings can brick prototypes; guardrails require cross-document majority voting + simulation test (register writes validated against spec XML).,Technical Support & Troubleshooting,Agentic RAG,Chain-of-Thought (CoT),Conditional Branching,"Vector Embeddings, Document Store",Text Only,Write/Action APIs,Human Escalation,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Hybrid (Structured + Unstructured),User State (Long-term),Graceful Degradation,Multi-Dimensional Scoring,Specialist Knowledge,Interactive (<5 seconds),Basic Audit Trail,"Decision Tree, State Machine"
qualcomm,CARRIER-CERT DOC AI – MOBILE & IOT CERTIFICATION PACK AUTOMATION,"• Every handset, tablet, module, or IoT device using Snapdragon must pass each carrier’s certification (RF, protocol, power, SAR).
• Per SKU (colour + memory + region) ≈ 280 submission artefacts (forms, test-case spreadsheets, deviation letters).
• FY 2024: 8 600 unique Qualcomm-powered SKUs × 280 docs ≈ 2.4 million documents/year.
• Documentation produced by 110-person “Carrier Technical Requirement” team; heavy copy-paste from test logs.","1. Human re-key errors cause 6 % rejection loops.
2. Average doc-pack lead time 12 days → OEM launch slips.
3. Team costs ≈ US$14 M; scaling pain as IoT SKUs explode.","• Automate 90 % doc generation → cut cost US$10 M.
• 1-week faster carrier approval = 4 days earlier sell-in per flagship → ~US$280 M revenue acceleration (Samsung, Xiaomi, etc.).
• Reject-rate <1 % avoids retest expenses (US$3 M).","Carrier Compliance Engineer, OEM Certification PM.","SharePoint template library, Excel macros, manually redacted PDFs.","LLM parses machine test logs (CSV/NMEA), maps to each carrier’s template catalogue, autowrites forms (e.g., “ATT_LTE_RF_21A.xlsx”), generates deviation rationales referencing 3GPP specs, packages zip, submits via carrier portals using RPA.",Not specified,"Submission error blocks launch – mitigation: parallel dry-run in sandbox, checksum against expected numeric thresholds.",Regulatory Compliance Automation,Sequential Pipeline,Planning/Decomposition,Sequential Chain,"Document Store, Structured Database","Text Only, Structured Data",Workflow Automation,Fully Autonomous,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Deep Structured (4+ levels),Session State (Short-term),Human Escalation Required,Ground Truth Available (Similarity),Expert Knowledge with Complex Rules,Batch/Async (hours-days),Highly Regulated (HIPAA/SOX/etc.),"Linear Flow Diagram, Process + Data Model (Combined)"
qualcomm,ECO-DOC HUB – BOM-LEVEL ENVIRONMENTAL & SOCIAL COMPLIANCE,"• Each commercial & automotive customer requests materials declarations, RoHS/REACH, conflict-minerals, California Prop 65, SCIP IDs, TSCA, per part number per purchase order.
• Active parts ≈ 1 800; customer requests ≈ 40 000/day ⇒ 14.6 million documents/year.
• Today: SAP module + 35 compliance analysts copy-paste data from IMDS & internal material DB to create PDFs and portal uploads (Automotive IMDS, Greensoft, SiliconExpert).","1. Manual data reconciliation produces 11 % late-doc KPI breaches → line-stop risk for OEMs (esp. auto).
2. Analysts spend 70 % time reading customer‐specific wording (Honda vs. Daimler vs. Apple).
3. High audit fatigue – same info repurposed.","• Full automation saves 30 FTE = US$4.8 M.
• Avoided customer penalty fees (Daimler’s €50 k / late pack) ≈ US$6 M/yr.
• Faster PO acceptance may pull forward ~US$90 M revenue.","Environmental Compliance Analyst, Customer Supply-Chain Manager.","SAP EH&S, Greensoft, IMDS web portal, manual Word templates.","LLM agent:
 1. Reads customer request e-mail / portal API, identifies required regulation set & language.
 2. Pulls substance list from master SAP database.
 3. Generates tailored declaration (PDF/XLS/IPC-1752A XML).
 4. Submits through API or RPA robot, posts acknowledgement.
 5. Maintains evidence repository for audits.","All tasks are deterministic (regulation tables, ppm thresholds) – language model used for template selection, unit conversion, multi-language narrative.","Providing wrong substance data incurs fines; system includes hash of source records, and human validation for any newly introduced part.",Regulatory Compliance Automation,Sequential Pipeline,Direct/None,Sequential Chain,"Structured Database, Policy Rules","Text Only, Structured Data",Multi-System Integration,Fully Autonomous,high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
qualcomm,CLAUSE KEEPER – REAL-TIME CONTRACT OBLIGATION MINING,"• Annual flow:
 – Sales: 9 400 customer MSAs/SOWs
 – Procurement: 12 600 PO Ts&Cs / vendor contracts
 – NDA & partnership docs: 6 300
• Average length 60 clauses ⇒ 1.7 million clause-level interactions/year.
• A 55-person Legal Ops team tags indemnity, IP ownership, export, audit-rights, then populates Salesforce CPQ & Ariba.","1. 85 % of clauses map to existing templates yet manually tagged.
2. Missed audit-right exclusions cost US$19 M one-time payment in 2024.
3. Cycle-time 6 days → stalls revenue recognition.","• Automate clause extraction/classification (≥ 95 % accuracy) → save 40 FTE ≈ US$6 M.
• Zero missed critical clauses → estimated US$10 M risk avoidance annually.
• 1 day faster booking → ~US$120 M cash-flow acceleration.","Legal Operations Analyst, Contract Manager, Finance Rev-Rec Team.","Ironclad repository, Salesforce CPQ, Ariba.","• LLM ingests new PDF/DOCX, segments clauses, classifies to 44-class Qualcomm policy ontology.
• Auto-populates CPQ/Ariba fields (payment terms, liability cap, inspection rights).
• Generates redline suggestions if out-of-policy.
• Sends approval workflow only for non-standard clauses (≈ 8 %).",Not specified,"System generates metadata, not legal advice; final signature step remains attorney-controlled. Data-leak risk mitigated via on-premise deployment.",Policy & Contract Analysis,Agentic RAG,Planning/Decomposition,Conditional Branching,"Vector Embeddings, Policy Rules","Text Only, Structured Data",Write/Action APIs,Human Escalation,high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
rtx_corporation,EXPORT GUARDIAN – AUTONOMOUS ITAR / EAR COMPLIANCE ENGINE,"RTX exchanges 18 million technical artefacts per year (drawings, specifications, models, presentations). Every artefact must be classified under the U.S. International Traffic in Arms Regulations (ITAR) or the Export Administration Regulations (EAR) before it can legally flow to non-U.S. persons, foreign subsidiaries, or cloud storage outside CONUS. Classification is now driven by a small team of 260 export-control engineers and paralegals using keyword search, sticky-note memory of the USML/ECCN lists, and an Outlook-based ticket queue. Median turnaround time (TAT) is 5	610 business days; the backlog peaks at 400 k+ items.","• Slow cycle time stalls global design collaboration and FMS contract execution.
• Manual classification creates inconsistencies; 2023 investigation exposed latent violations and resulted in $950 million in fines and mandatory third-party monitorship.
• Retirements of SME personnel threaten institutional memory of licensing precedents.","A 98 % straight-through-processing (STP) rate would:
• Shrink median TAT to < 30 minutes and dissolve the backlog.
• Enable concurrent engineering across U.S./European design centers, conservatively unlocking $200 million annual NRE avoidance on schedule-critical programs (e.g., NGAD subsystems).
• Reduce external auditor billings by $25 million per year and protect against future civil penalties estimated at $100 million per incident.","Corporate Global Trade Compliance (GTC) officers, program export managers, engineering IPT leads.","SAP GTS (Global Trade System), SharePoint drop-boxes, ad-hoc Excel trackers, manual USML/ECCN lookup PDFs, Outlook EC Queue mailbox.","1. Autonomous ingestion of every file added to designated PLM, ERP, and SharePoint libraries.
2. Deep content and metadata inspection to assign ITAR category or ECCN code, leveraging prior licensing rulings and RTX precedent database.
3. One-click generation of DSP-5, DSP-73, or BIS 748P application drafts with auto-filled commodity and valuation data.
4. Dynamic redaction module to strip controlled paragraphs/figures so that a non-ITAR clone can be shared instantly when full export is disallowed.
5. Continuous monitoring of external file-shares (Teams, Box, OneDrive) and e-mail attachments for unclassified leaks, with quarantine and auto-notify.","The LLM embodies the entire USML & CCL taxonomy plus RTXs own licensing precedent library, replacing line-by-line human decisions with deterministic, traceable, and explainable reasoning.","• False-negative classification carries existential legal risk. Export Guardian enforces dual threshold logic: 1) confidence score  97 % AND 2) no conflict with any must-review pattern (nuclear, crypto, classified sense data). Anything failing either test is escalated. Expected escalations: < 2 % of artefacts.
• System operates inside FedRAMP-High enclave; tokenized prompts deleted at session end to mitigate spillage.",Regulatory Compliance Automation,Workflow Orchestration,Planning/Decomposition,Event-Driven,"Hybrid Vector+DB, Policy Rules","Text Only, Structured Data",Multi-System Integration,Human Escalation,high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
rtx_corporation,NCR-X – SUPPLIER NON-CONFORMANCE RESOLUTION COPILOT 2.0,"Across Collins Aerospace and Pratt & Whitney factories RTX records  1.3 million Supplier Non-Conformance Reports (NCRs) annually. Each NCR includes free-form text, photographs, and dimensional inspection data. Today 2,100 Supplier Quality Engineers (SQEs) classify failure modes, select dispositions (Use-As-Is, Repair, Return, Scrap, Rework), issue 8D requests, and compute charge-back debits. Only 45 % of NCRs are closed within contractual SLA (30 days).","• Production lines wait for Material Review Board (MRB) decisions; WIP stoppages cause $350 million/year indirect labour and rescheduling cost.
• Only 32 % of charge-backs are issued within the fiscal quarter, creating cash leakage > $180 million.
• Data is under-leveraged	6systemic supplier escapes recur because lessons are embedded in unstructured text.","• Automating 90 % of NCR adjudications (all severity B/C/D) would close 1.17 million cases without human touch; MRB focuses on the 3	64 % Class A airworthiness items.
• Expected FCF improvement: $150 million (scrap avoidance + timely charge-backs).
• 30 % reduction in SQE staff overtime 	6 redeploy to preventive quality engineering.","Supplier Quality Engineers, MRB Chairs, Commodity Managers, Finance recovery analysts.","SAP QM for NCR records, TipQA, shared drives for photos, standalone Excel cost calculators, email to suppliers.","1. Ingests new NCRs in real time, auto-extracts dimensions, surface defect details (computer vision), and narrative context.
2. Matches against 5-year historical defect graph to predict root cause and recommended disposition with justification paragraphs referencing contract quality clauses (ASQR, SAE AS9102).
3. Generates and transmits supplier 8D form pre-filled with containment, root cause hypothesis, and target correction dates.
4. Posts debit memos directly to SAP FI when disposition is Scrap/Return.
5. Continuously retrains supplier defect propensity model and flags systemic trends to commodity management.","NCR-X converts tribal MRB knowledge into codified, explainable dispositions that suppliers accept automatically because the disposition text is anchored to clause references and statistically similar precedents.","• For Class A (Flight Safety Critical) parts, system moves to recommend-and-hold. These are  1 % of volume, meeting regulatory expectations.
• False automatic scrap could write off good parts: cost anomaly detector cross-checks part cost vs. historical scrap rate before posting debit.",Supplier & Vendor Compliance,Tool-Using Agent,Chain-of-Thought (CoT),Sequential Chain,"Knowledge Graph, Vector Embeddings","Text + Images, Structured Data",Write/Action APIs,Human Escalation,high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
rtx_corporation,SMARTCERTIFICATE – INBOUND MATERIAL & CERTIFICATE COMPLIANCE ENGINE,"Each purchased part, raw material batch, or chemical delivered to an RTX facility must include a Certificate of Conformance (CoC), mill test report (MTR), or special-process certificate. Annually  54 million such certificates (average 4 documents per of the  13 million line-items received) arrive as PDFs, emailed scans, or physical papers. Verification now requires manual cross-checking against the material master, ASTM/AMS specs, DFARS domestic-source clauses, and Nadcap process codes. Median queue is 7 days, forcing Receiving Inspection Hard-Hold that blocks material availability.","• $2.4 billion WIP inventory locked up annually due to documentation holds.
• Paper certificates are often misplaced, driving repeat testing costs of $35 million.
• Non-detected counterfeit or non-conforming material risks catastrophic field failures.","• 95 % of certificates cleared within 15 minutes, reducing average receiving hold by 6 days and releasing  $900 million in working capital.
• Eliminate 80 % of duplicate lab re-tests, saving $28 million/year.
• Create a traceable digital chain-of-custody satisfying OEM & DoD audit requirements.","Receiving inspection teams, Supplier Quality, Production planners, Program auditors.","SAP MM receiving module, shared-folder uploads, barcode scanning stations, manual ASTM lookup books.","1. High-accuracy OCR of certificates, including low-quality scans.
2. Semantic extraction of material spec, heat lot, mechanical properties, special-process codes, and supplier signatory.
3. LLM verifies compliance against BOM requirements, RTX Design Approved Source List (DASL), DFARS clauses (e.g., 252.225-7009), and Nadcap accreditation database.
4. Auto-releases SAP inspection lot and prints green tag; exceptions automatically route to Material Review Board.
5. Generates secure hash of the certificate and stores in blockchain-backed repository for immutable audit.","Transforms a paper-bound bottle-neck into zero-touch compliance, harmonising multiple policy sets (specification, trade, process) in a single reasoning step.","• OCR errors on poor scans 	6 model uses ensemble OCR with confidence gating; low-confidence extractions (~2 %) routed to manual verification.
• Maliciously altered certificates 	6 cryptographic hash compared to supplier-side registered doc via API.",Supplier & Vendor Compliance,Sequential Pipeline,Chain-of-Thought (CoT),Conditional Branching,"Hybrid Vector+DB, Policy Rules","Text + Images, Structured Data",Multi-System Integration,Human Escalation,high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
rtx_corporation,AUTOSHIPPER – GLOBAL CUSTOMS & EXPORT DOCUMENTATION GENERATOR,"RTX ships  3.8 million parcels internationally per year: engines to overhaul shops, missile parts under FMS contracts, avionics LRU spares to airlines, R&D samples, etc. Each shipment requires 5-9 documents (Commercial Invoice, Packing List, HTS classification sheet, Certificate of Origin, SLI, dangerous-goods declaration). Creation relies on 1,100 logistics coordinators who rekey data from SAP SD, look up HTS codes, and paste boiler-plate end-use certifications. Average document prep is 25 minutes, costing  700 FTEs.","• Document errors (wrong HTS, ECCN mismap) cause customs holds 	6 median delay 3 days, driving AOG penalties and DoD readiness issues.
• Manual field entries duplicate the earlier ITAR/EAR classification effort.
• No feedback loop: repeated errors not learned.","• 94 % shipments processed no-touch, saving 600 FTEs  $68 million OPEX.
• Customs delay reduction liberates  $310 million of in-transit inventory and avoids AOG penalty payments of $40 million/year.
• Harmonised data improves trade-compliance audit readiness, cutting external broker fees by $12 million.","Logistics coordinators, Trade compliance, Program IPT logisticians, Freight-forwarders.","SAP GTS, FedEx Ship Manager, Descartes customs portals, Excel templates.","1. Pulls sales order and ITAR/EAR metadata (from Export Guardian) and auto-generates all customs documents with correct HTS, ECCN, Schedule B, and license reference.
2. Produces bilingual documents (English + destination-country language) per Incoterms policy.
3. Submits electronic filings via customs broker APIs (ACE in U.S., CDS in UK, ICES in India).
4. Ingests notice-of-arrival feedback; if a hold occurs, auto-generates explanatory response citing WTO valuation articles or specific free-trade-agreement clauses.","Replacing swivel-chair data entry with deterministic, policy-aware document drafting tightens compliance and removes the logistics bottleneck that degrades service-level performance.","• Misclassification can still trigger customs fines; system uses majority-vote across three HTS classification models; tie-break via deterministic rules. Expected residual error < 0.2 %.
• Country-specific policy shifts (e.g., EU CBAM) updated weekly via automated tariff database sync.",Trade & Customs Documentation,Tool-Using Agent,Planning/Decomposition,Sequential Chain,"Structured Database, Policy Rules","Text Only, Structured Data",Multi-System Integration,Human Escalation,high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
rtx_corporation,POLARIS – AUTONOMOUS TRAVEL & EXPENSE POLICY ENFORCEMENT PLATFORM,"RTXs 185,000 employees submit  35 million expense-line items annually (airfare, per-diem, hotel, taxi, telecomm charges). The finance Shared-Service Centre reviews 100 % claims for compliance with FAR 31.205, DoD FTR, Internal RTX Travel Policy, and unique program contract allowability rules (e.g., CAS-covered vs. commercial). Current manual audit rate is 8 lines/minute per analyst; 480 analysts produce a 2-day SLA backlog.","• Leakage:  $110 million unallowable or duplicate expenses reimbursed each year (internal audit FY-24).
• Slow reimbursements drive employee dissatisfaction and high support call volumes (1.4 million Concur tickets).
• Few analysts have deep contract-specific allowability knowledge, causing inconsistent outcomes.","• 99 % of expense lines audited fully automatically within seconds; analysts focus solely on 1 % flagged anomalies.
• Direct annual cost avoidance  $95 million; headcount reduction/redeployment of 380 analysts worth $40 million OPEX.
• Employee NPS for expense process projected to rise from 38  65.","Accounts Payable audit team, Program control finance managers, Traveling employees.","SAP Concur, Chrome River imaging, SharePoint contract matrices, phone-bank support.","1. OCR and language detection on every receipt; LLM extracts merchant, dates, amounts, line-items.
2. Cross-checks against policy library (RTX Travel Policy, FAR Part 31, Joint Travel Regulations) and contract allowability matrix by WBS.
3. Flags duplicates (same merchant/amount/date) across 18-month rolling window.
4. Auto-approves and posts to SAP FI; sends real-time notification to employee.
5. When disallowed, generates natural-language explanation citing exact clause and suggests corrective action (e.g., change cost-center to IR&D if allowable).","Polaris makes clause-based reasoning at massive scale, transforming a high-volume language task into near-real-time automation and ensuring contract compliance.","• False denial of legitimate expenses 	6 system keeps a 30-day dispute window and learns by adjudication. Goal error rate < 0.3 %.
• Sensitive PII on receipts 	6 processed in RTX private Azure tenant with encryption-at-rest and prompt redaction.",Invoice & Financial Reconciliation,Sequential Pipeline,Chain-of-Thought (CoT),Conditional Branching,"Policy Rules, Structured Database","Text + Images, Structured Data",Write/Action APIs,Human Escalation,high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
sanofi,MED-INFO GPT,"Sanofi’s global Med-Info network receives ≈ 1.8 million unsolicited medical enquiries per year (HCPs 57 %, patients 25 %, payers 10 %, others 8 %). 28 regional contact-centres log queries in Salesforce Service Cloud, search a 45 000-article FAQ repository, paste answers, then email or speak responses. 35 % of questions escalate to Medical Science Liaisons (MSLs). Average first-response time (FRT) is 24 h; service-level‐agreement target is 4 h.","1. Repetitive search-and-compose work consumes ≈ 650 FTEs.
2. Inconsistent wording → 12 % follow-up clarification calls.
3. Escalation backlog slows novel-question response.","• Direct labour cost €55 M/year.
• HCP satisfaction (net-promoter-score) at 56 vs industry best-in-class 72 – directly correlated with formulary preference.
• Regulatory risk: 0.9 % of answers each quarter require corrective mailing due to wording drift.",Tier-1 Medical Information Specialists and Contact-Centre Team Leads.,"Salesforce Service Cloud, FAQ SharePoint, MS Word templates, ACD phone system.","• 24/7 omnichannel (voice, chat, email, web) agent that:
  – Authenticates caller, classifies request intent, retrieves governing response.
  – Generates answer exclusively from approved content or responds with “Information not available, escalating”.
  – Produces audit packet (question, answer, citations) and automatically logs completion.
• Multilingual (24 languages) with automated real-time translation.","Removes manual search, drafting and auditing, targeting 85 % fully automated resolution and cutting FRT to < 5 min.","Primary risk: off-label or promotional statements. Mitigations: retrieval-only architecture, policy classifier that blocks generated text not traceable to an approved node, plus dual-LLM consensus check. Human QA sampling (2 % of daily volume) maintained until drift < 0.1 %.",Customer Service Automation,Agentic RAG,Chain-of-Thought (CoT),Conditional Branching,"Vector Embeddings, Document Store","Text Only, Text + Audio",Read-Only APIs,Human Escalation,high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
sanofi,PV-GPT,"Pharmacovigilance receives ≈ 0.72 million ICSRs annually across 47 sources (E2B-R3 gateways, call-centre PDFs, social media monitoring). Current throughput: 28 FTE-minutes per case; narrative quality variability generates 3 000 health-authority queries/year.","Manual triage, extraction, MedDRA coding, and narrative drafting dominate cycle; outsourcing costs €20 M.","• Cost per case €28 ⇒ annual spend €20 M.
• 15-day regulatory clock misses (~0.3 %) risk warning letters and inspection findings.
• Analyst morale low due to repetitive copy-paste work.","Drug-Safety Associates, QPPV.","ARTEMIS (OCR + NLP pilot), Oracle Argus Safety, MedDRA Browser.","• Unified intake layer that ingests any document, extracts entities, determines seriousness, and autopopulates Argus.
• Generates complete narrative and CIOMS XML/MedWatch forms; auto-codes MedDRA PT/LLT with 97 %+ precision.
• Submits directly through E2B gateway; exceptions (< 10 %) routed to senior associate.","Reduces average touch-time to 4 min (85 % automation), eliminating €16 M annual vendor cost and improving compliance buffer to 48 h.",Coding or clock errors. Dual-algorithm ensemble (transformer + rules) with hard stop if confidence < 0.98; daily reconciliation report; initial 90-day “shadow” mode.,Safety & Incident Reporting,Sequential Pipeline,Planning/Decomposition,Conditional Branching,"Structured Database, Policy Rules","Text Only, Text + Images, Structured Data",Multi-System Integration,Human Escalation,high,"Multimodal, Complex",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Deep Structured (4+ levels),Complex State Machine,Human Escalation Required,Human Evaluation Required (Complex),Specialist Knowledge,Near Real-time (minutes),Highly Regulated (HIPAA/SOX/etc.),"Linear Flow Diagram, Entity-Relationship Diagram"
sanofi,PA-GPT,"U.S. Specialty Care hub (Dupixent, Xenpozyme, Enjaymo, etc.) processes ≈ 3.4 million benefit verifications & prior-authorization (PA) forms annually. Volume expected +22 % CAGR with immunology launches. Intake via fax (42 %), e-portal (28 %), phone (30 %). 1 900 agents manually transcribe patient & plan data, consult 5 400 payer policy PDFs, and complete standard forms (e.g., CoverMyMeds). Average turnaround 3 days; 29 % initial denial due to form errors or missing data.",Highly repetitive data extraction & policy lookup; human error drives denials and restart loops; long TAT frustrates prescribers → prescription abandonment (≈ 15  %).,"• Direct labour cost €75 M/year.
• Lost sales from abandonments ≈ €210 M annually.
• Compliance risk if PHI mishandled.",Reimbursement Support Agents & Hub Operations Managers.,"Salesforce Health Cloud (case object), IVR, OCR-Lite prototype, PDF payer policy repository.","• Auto-ingests PA request (fax OCR, portal JSON, or voice transcript).
• Retrieves relevant payer policy (plan, state, diagnosis codes) and validates eligibility rule-by-rule.
• Generates completed PA form (e-signature ready) or benefit verification summary; submits via appropriate payer API/portal.
• Provides real-time status back to HCP via SMS/portal.",Targets 80 % straight-through processing; reduces TAT to < 2 h and expected abandonment by 8 pp (≈ €110 M incremental revenue).,"HIPAA compliance (PHI). Solution deployed in HITRUST-certified VPC, all prompts and outputs logged; PHI tokenization layer before LLM. Wrong policy selection risk mitigated via deterministic rule engine overlay.",Prior Authorization & Appeals,Tool-Using Agent,Chain-of-Thought (CoT),Sequential Chain,"Policy Rules, Structured Database","Text Only, Text + Images, Structured Data",Multi-System Integration,Human Escalation,high,"Multimodal, Complex",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Nested Structured (2-3 levels),Session State (Short-term),Graceful Degradation,Ground Truth Available (Exact Match),Professional Knowledge,Interactive (<5 seconds),PII/Sensitive Data,"Decision Tree, Linear Flow Diagram"
sanofi,GMP-DOCS GPT,"Manufacturing & Supply produces 4.3 billion dose units/year across 59 plants → ≈ 11 million batch records (formulation, filling, packaging) and 8 million ancillary GMP documents (equipment logbooks, cleaning records). Currently, operators record data in MES screens plus 63 % manual notes; QA reviewers spend 45 min/batch on record review. Average batch-release latency 1.5 days.","Manual transcription errors, incomplete entries ⇒ 3 % batch record rework; release latency ties up €2.4 billion inventory.","• Releasing batches 1 day earlier frees €160 M working capital.
• QA effort ≈ 900 FTEs (€75 M).
• Deviation rate will drop via real-time checks.","Shop-floor Operators, QA Batch Reviewers, Site Release Managers.","Werum PAS-X MES, TrackWise, plai.yield analytics.","• Real-time LLM agent sits atop MES: auto-generates human-readable narrative for every step as operator signs.
• Cross-checks entries against SOP & spec limits; flags deviations immediately.
• On batch completion, compiles complete E-Batch-Record (PDF/A & XML) and routes to digital signature; no manual narration required.
• QA “lights-out” review: system runs 120 rules; if pass, batch auto-releases.",Aims for 70 % lights-out release; batch latency < 6 h; releases inventory faster and cuts QA headcount by 500 FTEs.,Release of non-conforming product. Mitigation: rules engine holds any un-parameterised exception; phased adoption (non-sterile → sterile lines); full data integrity audit logs.,Document Generation & Translation,Workflow Orchestration,Chain-of-Thought (CoT),Event-Driven,"Policy Rules, Structured Database","Text Only, Structured Data",Multi-System Integration,Human Escalation,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Hybrid (Structured + Unstructured),Event Sourcing,Mission Critical,Multi-Dimensional Scoring,Expert Knowledge with Complex Rules,Real-time (<1 second),Highly Regulated (HIPAA/SOX/etc.),"Linear Flow Diagram, State Machine"
sanofi,INVOICE-GPT,"Corporate Finance processes ≈ 6.8 million supplier invoices/year (material, logistics, CRO fees). 74 % arrive as PDF/email; 18 % EDI; 8 % paper. 320 AP clerks manually key header lines, code cost centres, match to PO or contract, resolve exceptions via email. Average processing cost €2.6/invoice and cycle time 8 days; target is ≤ 2 days for early-payment discounts.","High manual workload, delayed postings, missed 0.5 % early-payment discount (~€12 M).","• Labour €28 M.
• Lost discount €12 M.
• Late payment penalties & supplier dissatisfaction risk.","AP Clerks, Shared Service Centre Managers.","Coupa + SAP S/4HANA (under SHIFT programme), basic OCR.","• Ingests any invoice (email, EDI, scan).
• Extracts header & line items, classifies spend category, matches to PO/contract, or creates non-PO request under policy.
• Auto-posts in SAP; raises workflow only if 3-way-match variance > threshold or missing receipt.
• Generates supplier notification and updates payment forecast.","Targets 90 % touchless processing (from current 22 %), saving €20 M labour and capturing €10 M additional discounts.","Wrong GL coding or fraudulent invoices. Mitigation: policy rules engine, supplier master validation, anomaly detection (amount vs historical).",Invoice & Financial Reconciliation,Sequential Pipeline,Planning/Decomposition,Conditional Branching,"Structured Database, Policy Rules","Text Only, Text + Images, Structured Data",Write/Action APIs,Human Escalation,high,"Multimodal, Simple",Write/Action (4+ systems),Few Static Prompts (2-5),Sequential (2-3 steps),Nested Structured (2-3 levels),Stateless,Graceful Degradation,Ground Truth Available (Exact Match),Professional Knowledge,Near Real-time (minutes),Full Auditability,Linear Flow Diagram
